observation_date,FEDFUNDS_19970107,FEDFUNDS_20020108
01/01/1970,8.98,8.98
01/02/1970,8.98,8.98
01/03/1970,7.76,7.76
01/04/1970,8.1,8.1
01/05/1970,7.94,7.94
01/06/1970,7.6,7.6
01/07/1970,7.21,7.21
01/08/1970,6.61,6.61
01/09/1970,6.29,6.29
01/10/1970,6.2,6.2
01/11/1970,5.6,5.6
01/12/1970,4.9,4.9
01/01/1971,4.14,4.14
01/02/1971,3.72,3.72
01/03/1971,3.71,3.71
01/04/1971,4.15,4.15
01/05/1971,4.63,4.63
01/06/1971,4.91,4.91
01/07/1971,5.31,5.31
01/08/1971,5.56,5.56
01/09/1971,5.55,5.55
01/10/1971,5.2,5.2
01/11/1971,4.91,4.91
01/12/1971,4.14,4.14
01/01/1972,3.5,3.5
01/02/1972,3.29,3.29
01/03/1972,3.83,3.83
01/04/1972,4.17,4.17
01/05/1972,4.27,4.27
01/06/1972,4.46,4.46
01/07/1972,4.55,4.55
01/08/1972,4.8,4.8
01/09/1972,4.87,4.87
01/10/1972,5.04,5.04
01/11/1972,5.06,5.06
01/12/1972,5.33,5.33
01/01/1973,5.94,5.94
01/02/1973,6.58,6.58
01/03/1973,7.09,7.09
01/04/1973,7.12,7.12
01/05/1973,7.84,7.84
01/06/1973,8.49,8.49
01/07/1973,10.4,10.4
01/08/1973,10.5,10.5
01/09/1973,10.78,10.78
01/10/1973,10.01,10.01
01/11/1973,10.03,10.03
01/12/1973,9.95,9.95
01/01/1974,9.65,9.65
01/02/1974,8.97,8.97
01/03/1974,9.35,9.35
01/04/1974,10.51,10.51
01/05/1974,11.31,11.31
01/06/1974,11.93,11.93
01/07/1974,12.92,12.92
01/08/1974,12.01,12.01
01/09/1974,11.34,11.34
01/10/1974,10.06,10.06
01/11/1974,9.45,9.45
01/12/1974,8.53,8.53
01/01/1975,7.13,7.13
01/02/1975,6.24,6.24
01/03/1975,5.54,5.54
01/04/1975,5.49,5.49
01/05/1975,5.22,5.22
01/06/1975,5.55,5.55
01/07/1975,6.1,6.1
01/08/1975,6.14,6.14
01/09/1975,6.24,6.24
01/10/1975,5.82,5.82
01/11/1975,5.22,5.22
01/12/1975,5.2,5.2
01/01/1976,4.87,4.87
01/02/1976,4.77,4.77
01/03/1976,4.84,4.84
01/04/1976,4.82,4.82
01/05/1976,5.29,5.29
01/06/1976,5.48,5.48
01/07/1976,5.31,5.31
01/08/1976,5.29,5.29
01/09/1976,5.25,5.25
01/10/1976,5.02,5.02
01/11/1976,4.95,4.95
01/12/1976,4.65,4.65
01/01/1977,4.61,4.61
01/02/1977,4.68,4.68
01/03/1977,4.69,4.69
01/04/1977,4.73,4.73
01/05/1977,5.35,5.35
01/06/1977,5.39,5.39
01/07/1977,5.42,5.42
01/08/1977,5.9,5.9
01/09/1977,6.14,6.14
01/10/1977,6.47,6.47
01/11/1977,6.51,6.51
01/12/1977,6.56,6.56
01/01/1978,6.7,6.7
01/02/1978,6.78,6.78
01/03/1978,6.79,6.79
01/04/1978,6.89,6.89
01/05/1978,7.36,7.36
01/06/1978,7.6,7.6
01/07/1978,7.81,7.81
01/08/1978,8.04,8.04
01/09/1978,8.45,8.45
01/10/1978,8.96,8.96
01/11/1978,9.76,9.76
01/12/1978,10.03,10.03
01/01/1979,10.07,10.07
01/02/1979,10.06,10.06
01/03/1979,10.09,10.09
01/04/1979,10.01,10.01
01/05/1979,10.24,10.24
01/06/1979,10.29,10.29
01/07/1979,10.47,10.47
01/08/1979,10.94,10.94
01/09/1979,11.43,11.43
01/10/1979,13.77,13.77
01/11/1979,13.18,13.18
01/12/1979,13.78,13.78
01/01/1980,13.82,13.82
01/02/1980,14.13,14.13
01/03/1980,17.19,17.19
01/04/1980,17.61,17.61
01/05/1980,10.98,10.98
01/06/1980,9.47,9.47
01/07/1980,9.03,9.03
01/08/1980,9.61,9.61
01/09/1980,10.87,10.87
01/10/1980,12.81,12.81
01/11/1980,15.85,15.85
01/12/1980,18.9,18.9
01/01/1981,19.08,19.08
01/02/1981,15.93,15.93
01/03/1981,14.7,14.7
01/04/1981,15.72,15.72
01/05/1981,18.52,18.52
01/06/1981,19.1,19.1
01/07/1981,19.04,19.04
01/08/1981,17.82,17.82
01/09/1981,15.87,15.87
01/10/1981,15.08,15.08
01/11/1981,13.31,13.31
01/12/1981,12.37,12.37
01/01/1982,13.22,13.22
01/02/1982,14.78,14.78
01/03/1982,14.68,14.68
01/04/1982,14.94,14.94
01/05/1982,14.45,14.45
01/06/1982,14.15,14.15
01/07/1982,12.59,12.59
01/08/1982,10.12,10.12
01/09/1982,10.31,10.31
01/10/1982,9.71,9.71
01/11/1982,9.2,9.2
01/12/1982,8.95,8.95
01/01/1983,8.68,8.68
01/02/1983,8.51,8.51
01/03/1983,8.77,8.77
01/04/1983,8.8,8.8
01/05/1983,8.63,8.63
01/06/1983,8.98,8.98
01/07/1983,9.37,9.37
01/08/1983,9.56,9.56
01/09/1983,9.45,9.45
01/10/1983,9.48,9.48
01/11/1983,9.34,9.34
01/12/1983,9.47,9.47
01/01/1984,9.56,9.56
01/02/1984,9.59,9.59
01/03/1984,9.91,9.91
01/04/1984,10.29,10.29
01/05/1984,10.32,10.32
01/06/1984,11.06,11.06
01/07/1984,11.23,11.23
01/08/1984,11.64,11.64
01/09/1984,11.3,11.3
01/10/1984,9.99,9.99
01/11/1984,9.43,9.43
01/12/1984,8.38,8.38
01/01/1985,8.35,8.35
01/02/1985,8.5,8.5
01/03/1985,8.58,8.58
01/04/1985,8.27,8.27
01/05/1985,7.97,7.97
01/06/1985,7.53,7.53
01/07/1985,7.88,7.88
01/08/1985,7.9,7.9
01/09/1985,7.92,7.92
01/10/1985,7.99,7.99
01/11/1985,8.05,8.05
01/12/1985,8.27,8.27
01/01/1986,8.14,8.14
01/02/1986,7.86,7.86
01/03/1986,7.48,7.48
01/04/1986,6.99,6.99
01/05/1986,6.85,6.85
01/06/1986,6.92,6.92
01/07/1986,6.56,6.56
01/08/1986,6.17,6.17
01/09/1986,5.89,5.89
01/10/1986,5.85,5.85
01/11/1986,6.04,6.04
01/12/1986,6.91,6.91
