observation_date,SenateMajority,HouseMajority,PresidentParty,UnifiedGov
01/01/1954,0,0,0,0
01/04/1954,0,0,0,0
01/07/1954,0,0,0,0
01/10/1954,0,0,0,0
01/01/1955,0,0,0,0
01/04/1955,0,0,0,0
01/07/1955,0,0,0,0
01/10/1955,0,0,0,0
01/01/1956,0,0,0,0
01/04/1956,0,0,0,0
01/07/1956,0,0,0,0
01/10/1956,0,0,0,0
01/01/1957,0,0,0,0
01/04/1957,0,0,0,0
01/07/1957,0,0,0,0
01/10/1957,0,0,0,0
01/01/1958,0,0,0,0
01/04/1958,0,0,0,0
01/07/1958,0,0,0,0
01/10/1958,0,0,0,0
01/01/1959,0,0,0,0
01/04/1959,0,0,0,0
01/07/1959,0,0,0,0
01/10/1959,0,0,0,0
01/01/1960,0,0,0,0
01/04/1960,0,0,0,0
01/07/1960,0,0,0,0
01/10/1960,0,0,0,0
01/01/1961,0,0,0,0
01/04/1961,0,0,0,0
01/07/1961,0,0,0,0
01/10/1961,0,0,0,0
01/01/1962,0,0,0,0
01/04/1962,0,0,0,0
01/07/1962,0,0,0,0
01/10/1962,0,0,0,0
01/01/1963,0,0,0,0
01/04/1963,0,0,0,0
01/07/1963,0,0,0,0
01/10/1963,0,0,0,0
01/01/1964,0,0,0,0
01/04/1964,0,0,0,0
01/07/1964,0,0,0,0
01/10/1964,0,0,0,0
01/01/1965,0,0,0,0
01/04/1965,0,0,0,0
01/07/1965,0,0,0,0
01/10/1965,0,0,0,0
01/01/1966,0,0,0,0
01/04/1966,0,0,0,0
01/07/1966,0,0,0,0
01/10/1966,0,0,0,0
01/01/1967,0,0,0,0
01/04/1967,0,0,0,0
01/07/1967,0,0,0,0
01/10/1967,0,0,0,0
01/01/1968,0,0,0,0
01/04/1968,0,0,0,0
01/07/1968,0,0,0,0
01/10/1968,0,0,0,0
01/01/1969,0,0,1,0
01/04/1969,0,0,1,0
01/07/1969,0,0,1,0
01/10/1969,0,0,1,0
01/01/1970,0,0,1,0
01/04/1970,0,0,1,0
01/07/1970,0,0,1,0
01/10/1970,0,0,1,0
01/01/1971,0,0,1,0
01/04/1971,0,0,1,0
01/07/1971,0,0,1,0
01/10/1971,0,0,1,0
01/01/1972,0,0,1,0
01/04/1972,0,0,1,0
01/07/1972,0,0,1,0
01/10/1972,0,0,1,0
01/01/1973,0,0,1,0
01/04/1973,0,0,1,0
01/07/1973,0,0,1,0
01/10/1973,0,0,1,0
01/01/1974,0,0,1,0
01/04/1974,0,0,1,0
01/07/1974,0,0,1,0
01/10/1974,0,0,1,0
01/01/1975,0,0,1,0
01/04/1975,0,0,1,0
01/07/1975,0,0,1,0
01/10/1975,0,0,1,0
01/01/1976,0,0,1,0
01/04/1976,0,0,1,0
01/07/1976,0,0,1,0
01/10/1976,0,0,1,0
01/01/1977,0,0,0,0
01/04/1977,0,0,0,0
01/07/1977,0,0,0,0
01/10/1977,0,0,0,0
01/01/1978,0,0,0,0
01/04/1978,0,0,0,0
01/07/1978,0,0,0,0
01/10/1978,0,0,0,0
01/01/1979,0,0,0,0
01/04/1979,0,0,0,0
01/07/1979,0,0,0,0
01/10/1979,0,0,0,0
01/01/1980,0,0,0,0
01/04/1980,0,0,0,0
01/07/1980,0,0,0,0
01/10/1980,0,0,0,0
01/01/1981,0,1,1,1
01/04/1981,0,1,1,1
01/07/1981,0,1,1,1
01/10/1981,0,1,1,1
01/01/1982,0,1,1,1
01/04/1982,0,1,1,1
01/07/1982,0,1,1,1
01/10/1982,0,1,1,1
01/01/1983,0,1,1,1
01/04/1983,0,1,1,1
01/07/1983,0,1,1,1
01/10/1983,0,1,1,1
01/01/1984,0,1,1,1
01/04/1984,0,1,1,1
01/07/1984,0,1,1,1
01/10/1984,0,1,1,1
01/01/1985,0,1,1,1
01/04/1985,0,1,1,1
01/07/1985,0,1,1,1
01/10/1985,0,1,1,1
01/01/1986,0,1,1,1
01/04/1986,0,1,1,1
01/07/1986,0,1,1,1
01/10/1986,0,1,1,1
01/01/1987,0,0,1,1
01/04/1987,0,0,1,1
01/07/1987,0,0,1,1
01/10/1987,0,0,1,1
01/01/1988,0,0,1,1
01/04/1988,0,0,1,1
01/07/1988,0,0,1,1
01/10/1988,0,0,1,1
01/01/1989,0,0,1,1
01/04/1989,0,0,1,1
01/07/1989,0,0,1,1
01/10/1989,0,0,1,1
01/01/1990,0,0,1,1
01/04/1990,0,0,1,1
01/07/1990,0,0,1,1
01/10/1990,0,0,1,1
01/01/1991,0,0,1,1
01/04/1991,0,0,1,1
01/07/1991,0,0,1,1
01/10/1991,0,0,1,1
01/01/1992,0,0,1,1
01/04/1992,0,0,1,1
01/07/1992,0,0,1,1
01/10/1992,0,0,1,1
01/01/1993,0,0,0,0
01/04/1993,0,0,0,0
01/07/1993,0,0,0,0
01/10/1993,0,0,0,0
01/01/1994,0,0,0,0
01/04/1994,0,0,0,0
01/07/1994,0,0,0,0
01/10/1994,0,0,0,0
01/01/1995,1,1,0,0
01/04/1995,1,1,0,0
01/07/1995,1,1,0,0
01/10/1995,1,1,0,0
01/01/1996,1,1,0,0
01/04/1996,1,1,0,0
01/07/1996,1,1,0,0
01/10/1996,1,1,0,0
01/01/1997,1,1,0,0
01/04/1997,1,1,0,0
01/07/1997,1,1,0,0
01/10/1997,1,1,0,0
01/01/1998,1,1,0,0
01/04/1998,1,1,0,0
01/07/1998,1,1,0,0
01/10/1998,1,1,0,0
01/01/1999,1,1,0,0
